グラン千代田House,2020年6月,19階,41.49㎡,3630万円
Crestハウス広尾,2020年6月,12階,55.18㎡,5760万円
ヒルズ・高輪,2020年6月,14階,33.40㎡,3200万円
ヒルズ・ホームズ千代田,2020年6月,11階,29.47㎡,3350万円
Branz高輪タワー,2020年6月,9階,26.08㎡,2410万円
クレスト・下井草,2020年6月,8階,64.80㎡,7470万円
ブランズ高輪Tower,2020年6月,12階,14.17㎡,1470万円
クレストHouse広尾,2020年6月,20階,60.35㎡,6870万円
Proud豊洲Tower,2020年6月,19階,58.63㎡,6500万円
Parkレジデンス上野,2020年6月,10階,39.56㎡,3440万円
銀座ガーデンシティー,2020年6月,12階,12.32㎡,1430万円
Lionsハウス千代田,2020年6月,6階,39.76㎡,4130万円
ジー エス宮下ハイム,2020年6月,18階,10.48㎡,1090万円
ブランズ渋谷,2020年6月,8階,39.65㎡,3470万円
Branz高輪タワー,2020年6月,20階,16.97㎡,2040万円
パークヒルズ新宿,2020年6月,8階,13.09㎡,1260万円
crest下井草,2020年6月,2階,61.47㎡,5190万円
プラウド豊洲タワー,2020年6月,7階,22.41㎡,2760万円
グリーンホームズ亀戸,2020年6月,19階,55.53㎡,7090万円
勝どきリバー・サイドタワー,2020年6月,19階,27.99㎡,3340万円
ヒルズ高輪,2020年6月,15階,44.93㎡,5620万円
クレストハウス広尾,2020年6月,1階,38.23㎡,3110万円
銀座ガーデン・シティー,2020年6月,18階,47.21㎡,5320万円
パークレジデンス上野,2020年6月,15階,32.97㎡,4200万円
スカイ新宿Tower,2020年6月,20階,50.38㎡,4760万円
スカイ新宿タワー,2020年6月,18階,25.62㎡,2880万円
HillsTower上野,2020年6月,6階,21.83㎡,2810万円
ライオンズハウス千代田,2020年6月,6階,37.01㎡,3910万円
Hills高輪,2020年6月,17階,43.14㎡,4210万円
Parkヒルズ新宿,2020年6月,10階,18.91㎡,1740万円
GardenHills広尾,2020年6月,14階,36.51㎡,4660万円
プラウド上野ハウス,2020年6月,11階,36.87㎡,4450万円
プラウド豊洲Tower,2020年6月,18階,41.52㎡,3350万円
ヒルズ・ホームズ千代田,2020年6月,17階,32.95㎡,3650万円
銀座ガーデン・シティー,2020年6月,2階,22.21㎡,2400万円
グリーン・ホームズ・亀戸,2020年6月,20階,21.57㎡,2080万円
勝どきRiverSideTower,2020年6月,16階,47.65㎡,4570万円
銀座ガーデン・シティー,2020年6月,9階,49.68㎡,5900万円
銀座ガーデンシティー,2020年6月,6階,56.13㎡,6170万円
プラウド上野ハウス,2020年6月,2階,29.52㎡,3340万円
Parkヒルズ新宿,2020年6月,15階,15.15㎡,1850万円
ライオンズTower東京,2020年6月,9階,57.69㎡,4750万円
銀座ガーデン・シティー,2020年6月,19階,35.50㎡,2980万円
LionsMansion東京,2020年6月,3階,33.84㎡,4290万円
Lionsマンション東京,2020年6月,18階,20.54㎡,2170万円
グラン千代田ハウス,2020年6月,5階,39.14㎡,4770万円
LionsMansion東京,2020年6月,7階,29.15㎡,2960万円
グリーン・ホームズ・亀戸,2020年6月,5階,43.30㎡,4590万円
ライオンズ・タワー東京,2020年6月,19階,52.90㎡,6040万円
LionsTower東京,2020年6月,20階,53.21㎡,5240万円
