スカイ新宿タワー,2020年3月,2階,40.24㎡,5090万円
ParkResidence上野,2020年3月,8階,47.58㎡,5940万円
ブランズ渋谷,2020年3月,2階,58.68㎡,7180万円
ガーデンヒルズ・ひろお,2020年3月,11階,10.44㎡,1260万円
Lionsマンション東京,2020年3月,10階,16.14㎡,1750万円
銀座ガーデンシティー,2020年3月,20階,68.76㎡,8080万円
シティータワー・トヨス,2020年3月,3階,32.46㎡,3130万円
Lionsハウス千代田,2020年3月,5階,62.74㎡,6330万円
Hills高輪,2020年3月,17階,66.77㎡,6810万円
勝どきRiverSideTower,2020年3月,20階,63.19㎡,8180万円
クレスト下井草,2020年3月,19階,57.02㎡,6730万円
GardenHills広尾,2020年3月,3階,37.20㎡,3160万円
LionsHouse千代田,2020年3月,8階,50.68㎡,4940万円
パークHills新宿,2020年3月,16階,55.49㎡,6820万円
パークHills新宿,2020年3月,15階,22.78㎡,2850万円
ガーデンヒルズ広尾,2020年3月,20階,34.03㎡,3360万円
Branz渋谷,2020年3月,7階,61.76㎡,5980万円
ヒルズ上野タワー,2020年3月,10階,38.77㎡,4230万円
プラウド・トヨス・タワー,2020年3月,9階,30.41㎡,3130万円
ライオンズ・マンション東京,2020年3月,13階,61.26㎡,6540万円
ライオンズ・タワー東京,2020年3月,15階,26.12㎡,2570万円
GardenHills広尾,2020年3月,10階,20.56㎡,2570万円
Parkヒルズ新宿,2020年3月,17階,18.02㎡,1870万円
ライオンズハウス千代田,2020年3月,5階,47.02㎡,4080万円
ParkHills新宿,2020年3月,14階,29.57㎡,3070万円
クレスト下井草,2020年3月,1階,40.50㎡,3890万円
銀座ガーデンシティー,2020年3月,3階,46.88㎡,4360万円
ライオンズ・マンション東京,2020年3月,10階,19.78㎡,1820万円
ライオンズ・マンション東京,2020年3月,3階,52.26㎡,4240万円
パークレジデンス・うえの,2020年3月,9階,10.19㎡,880万円
ジー エス宮下ハイム,2020年3月,4階,59.54㎡,6700万円
CityTower豊洲,2020年3月,3階,43.37㎡,5250万円
Proud上野ハウス,2020年3月,20階,65.47㎡,5240万円
ヒルズ上野タワー,2020年3月,20階,45.76㎡,5510万円
LionsTower東京,2020年3月,13階,28.12㎡,3500万円
プラウド上野ハウス,2020年3月,5階,64.48㎡,6550万円
パークレジデンス上野,2020年3月,20階,68.38㎡,8220万円
パークレジデンス・うえの,2020年3月,11階,53.56㎡,6420万円
ヒルズ高輪,2020年3月,5階,54.15㎡,6150万円
クレスト・下井草,2020年3月,10階,67.17㎡,6040万円
ヒルズ・高輪,2020年3月,19階,52.99㎡,5710万円
CrestHouse広尾,2020年3月,10階,21.07㎡,1900万円
銀座GardenCity,2020年3月,5階,26.82㎡,3180万円
HillsHomes千代田,2020年3月,15階,30.91㎡,3010万円
Lionsハウス千代田,2020年3月,17階,58.66㎡,7500万円
CityTower豊洲,2020年3月,5階,48.99㎡,5200万円
勝どきRiverSideTower,2020年3月,13階,19.69㎡,1940万円
グラン千代田ハウス,2020年3月,6階,25.24㎡,2890万円
プラウドTower豊洲,2020年3月,4階,32.84㎡,3590万円
crest下井草,2020年3月,19階,30.23㎡,2820万円
