ライオンズ・タワー東京,2020年1月,10階,38.87㎡,3410万円
Proud豊洲Tower,2020年1月,20階,63.50㎡,6130万円
Gran千代田House,2020年1月,5階,54.62㎡,5360万円
Proud豊洲Tower,2020年1月,4階,47.67㎡,6130万円
LionsHouse千代田,2020年1月,19階,49.09㎡,4300万円
グラン千代田House,2020年1月,20階,48.05㎡,4160万円
ライオンズ・マンション東京,2020年1月,19階,35.56㎡,3290万円
GardenHills広尾,2020年1月,13階,25.66㎡,2120万円
Gran千代田ハウス,2020年1月,8階,27.49㎡,2370万円
スカイ新宿Tower,2020年1月,7階,24.74㎡,3180万円
銀座GardenCity,2020年1月,14階,55.80㎡,6540万円
crest下井草,2020年1月,7階,38.48㎡,3300万円
銀座ガーデン・シティー,2020年1月,20階,51.77㎡,6440万円
GreenHomes亀戸,2020年1月,6階,24.58㎡,2860万円
LionsTower東京,2020年1月,17階,20.24㎡,1780万円
Hills高輪,2020年1月,8階,43.68㎡,5180万円
CrestHouse広尾,2020年1月,13階,30.42㎡,3520万円
プラウド豊洲タワー,2020年1月,10階,51.88㎡,6590万円
Crestハウス広尾,2020年1月,18階,55.18㎡,5130万円
Hills高輪,2020年1月,13階,41.17㎡,3350万円
グリーンホームズ亀戸,2020年1月,4階,68.21㎡,7770万円
GS宮下ハイム,2020年1月,12階,14.89㎡,1510万円
CrestHouse広尾,2020年1月,1階,62.10㎡,7450万円
Proud上野House,2020年1月,14階,45.66㎡,5420万円
ParkHills新宿,2020年1月,16階,18.55㎡,1500万円
ブランズ高輪タワー,2020年1月,3階,14.23㎡,1600万円
ヒルズ・ホームズ千代田,2020年1月,15階,37.12㎡,4600万円
Branz渋谷,2020年1月,2階,46.36㎡,3760万円
GreenHomes亀戸,2020年1月,7階,51.15㎡,4380万円
クレスト・下井草,2020年1月,8階,33.22㎡,3150万円
LionsHouse千代田,2020年1月,19階,39.03㎡,3770万円
ヒルズ・ホームズ千代田,2020年1月,3階,53.70㎡,5910万円
ParkHills新宿,2020年1月,6階,40.06㎡,4110万円
ガーデンヒルズ広尾,2020年1月,12階,28.39㎡,2380万円
Branz高輪タワー,2020年1月,2階,32.56㎡,3950万円
シティータワー・トヨス,2020年1月,18階,14.24㎡,1290万円
プラウド・トヨス・タワー,2020年1月,19階,66.43㎡,7620万円
Branz渋谷,2020年1月,11階,40.16㎡,4760万円
クレストHouse広尾,2020年1月,19階,42.41㎡,4750万円
ブランズ・シブヤ,2020年1月,19階,20.10㎡,1680万円
Proud上野House,2020年1月,7階,65.40㎡,6120万円
Proud上野ハウス,2020年1月,9階,15.22㎡,1260万円
グリーン・ホームズ・亀戸,2020年1月,10階,31.25㎡,2700万円
LionsHouse千代田,2020年1月,15階,31.52㎡,2960万円
ライオンズTower東京,2020年1月,7階,34.02㎡,4200万円
勝どきRiverSideTower,2020年1月,8階,64.07㎡,7950万円
Parkレジデンス上野,2020年1月,17階,24.46㎡,2430万円
GS宮下ハイム,2020年1月,19階,36.71㎡,4280万円
Sky新宿Tower,2020年1月,10階,32.44㎡,3460万円
ライオンズハウス千代田,2020年1月,2階,37.69㎡,4330万円
