ヒルズ上野タワー,2020年5月,20階,59.59㎡,6010万円
スカイ新宿タワー,2020年5月,10階,53.85㎡,5910万円
Proud豊洲Tower,2020年5月,3階,46.53㎡,4820万円
Sky新宿Tower,2020年5月,9階,43.48㎡,3540万円
ヒルズタワー上野,2020年5月,10階,21.29㎡,2140万円
パークレジデンス・うえの,2020年5月,17階,42.33㎡,4470万円
ジー エス宮下ハイム,2020年5月,19階,27.77㎡,2730万円
CrestHouse広尾,2020年5月,13階,57.92㎡,6990万円
ガーデンヒルズ・ひろお,2020年5月,18階,26.61㎡,2910万円
グリーンホームズ亀戸,2020年5月,19階,30.75㎡,3990万円
プラウドTower豊洲,2020年5月,20階,41.55㎡,4370万円
ヒルズタワー上野,2020年5月,13階,48.92㎡,5990万円
Parkレジデンス上野,2020年5月,19階,20.73㎡,1880万円
銀座GardenCity,2020年5月,2階,66.71㎡,7090万円
ブランズ・シブヤ,2020年5月,19階,18.36㎡,2080万円
パークレジデンス・うえの,2020年5月,18階,10.30㎡,1150万円
Lionsマンション東京,2020年5月,14階,39.79㎡,4360万円
ヒルズタワー上野,2020年5月,6階,20.23㎡,2460万円
ブランズ高輪Tower,2020年5月,7階,41.82㎡,4660万円
GardenHills広尾,2020年5月,16階,37.40㎡,3080万円
パークヒルズ新宿,2020年5月,19階,46.11㎡,5200万円
ガーデンヒルズ・ひろお,2020年5月,17階,53.85㎡,4880万円
ブランズ高輪Tower,2020年5月,18階,39.46㎡,4390万円
ブランズ高輪タワー,2020年5月,10階,69.62㎡,7540万円
Lionsハウス千代田,2020年5月,2階,13.45㎡,1420万円
ブランズ高輪タワー,2020年5月,13階,69.83㎡,6630万円
クレスト・下井草,2020年5月,20階,54.52㎡,6340万円
プラウド・トヨス・タワー,2020年5月,18階,46.59㎡,5410万円
クレストハウス広尾,2020年5月,16階,15.33㎡,1450万円
銀座GardenCity,2020年5月,3階,49.06㎡,5550万円
GS宮下ハイム,2020年5月,16階,20.39㎡,1780万円
パークヒルズ新宿,2020年5月,5階,25.24㎡,2800万円
パークヒルズ新宿,2020年5月,17階,31.35㎡,3560万円
勝どきリバー・サイドTower,2020年5月,5階,28.94㎡,2360万円
ガーデンヒルズ・ひろお,2020年5月,4階,19.18㎡,1740万円
勝どきリバー・サイドタワー,2020年5月,15階,50.52㎡,6000万円
Branz高輪タワー,2020年5月,4階,52.10㎡,4350万円
Gran千代田House,2020年5月,14階,64.60㎡,7750万円
勝どきリバー・サイドTower,2020年5月,1階,29.48㎡,2390万円
プラウド豊洲Tower,2020年5月,19階,66.36㎡,7840万円
Lionsハウス千代田,2020年5月,14階,52.91㎡,4930万円
グラン千代田ハウス,2020年5月,11階,54.44㎡,6720万円
HillsHomes千代田,2020年5月,3階,59.01㎡,7440万円
HillsHomes千代田,2020年5月,10階,13.36㎡,1420万円
Sky新宿Tower,2020年5月,8階,62.17㎡,7610万円
Hills高輪,2020年5月,6階,65.12㎡,7950万円
ジー エス宮下ハイム,2020年5月,8階,29.41㎡,3310万円
クレスト・下井草,2020年5月,8階,67.68㎡,7700万円
Crestハウス広尾,2020年5月,5階,26.45㎡,3130万円
プラウド豊洲Tower,2020年5月,3階,17.31㎡,1820万円
