LionsMansion東京,2020年2月,16階,56.27㎡,5020万円
CityTower豊洲,2020年2月,4階,24.79㎡,2550万円
ヒルズ・ホームズ千代田,2020年2月,10階,29.65㎡,2470万円
ParkResidence上野,2020年2月,13階,52.90㎡,4790万円
ParkResidence上野,2020年2月,1階,40.53㎡,3420万円
GreenHomes亀戸,2020年2月,12階,59.93㎡,4970万円
HillsTower上野,2020年2月,4階,33.15㎡,3510万円
Proud豊洲Tower,2020年2月,1階,14.59㎡,1180万円
プラウド豊洲タワー,2020年2月,4階,46.30㎡,5390万円
LionsTower東京,2020年2月,16階,39.13㎡,4400万円
ブランズ渋谷,2020年2月,10階,55.19㎡,5660万円
GS宮下ハイム,2020年2月,20階,47.23㎡,4670万円
GreenHomes亀戸,2020年2月,16階,14.31㎡,1550万円
ブランズ・シブヤ,2020年2月,8階,37.01㎡,3330万円
グラン千代田House,2020年2月,10階,19.25㎡,2060万円
シティータワー豊洲,2020年2月,6階,61.48㎡,6530万円
CityTower豊洲,2020年2月,10階,46.75㎡,4200万円
ブランズ・シブヤ,2020年2月,8階,16.17㎡,1960万円
クレスト下井草,2020年2月,11階,54.18㎡,4770万円
パークHills新宿,2020年2月,11階,64.79㎡,5650万円
パークレジデンス上野,2020年2月,1階,40.02㎡,4610万円
Sky新宿Tower,2020年2月,6階,45.48㎡,5620万円
ライオンズ・タワー東京,2020年2月,6階,42.24㎡,5080万円
パークレジデンス上野,2020年2月,4階,25.75㎡,2460万円
Lionsマンション東京,2020年2月,10階,50.01㎡,5240万円
シティータワー・トヨス,2020年2月,11階,14.37㎡,1550万円
ライオンズTower東京,2020年2月,19階,62.72㎡,7920万円
シティータワー・トヨス,2020年2月,5階,28.60㎡,2920万円
スカイ新宿Tower,2020年2月,12階,56.53㎡,5600万円
Proud上野ハウス,2020年2月,20階,26.49㎡,2430万円
Gran千代田House,2020年2月,12階,61.91㎡,6760万円
ParkHills新宿,2020年2月,6階,50.03㎡,4540万円
ヒルズ高輪,2020年2月,9階,46.57㎡,4170万円
HillsHomes千代田,2020年2月,11階,20.74㎡,2150万円
HillsTower上野,2020年2月,13階,47.23㎡,4350万円
CityTower豊洲,2020年2月,20階,18.86㎡,1680万円
ヒルズ上野タワー,2020年2月,19階,24.31㎡,2770万円
LionsMansion東京,2020年2月,2階,40.08㎡,3380万円
Proud上野ハウス,2020年2月,2階,42.60㎡,4790万円
パークレジデンス・うえの,2020年2月,15階,40.97㎡,3900万円
ブランズ高輪タワー,2020年2月,1階,14.44㎡,1280万円
Gran千代田House,2020年2月,14階,19.26㎡,2170万円
ガーデンヒルズ広尾,2020年2月,20階,39.23㎡,3710万円
クレストハウス広尾,2020年2月,4階,11.38㎡,1030万円
プラウド・トヨス・タワー,2020年2月,11階,59.85㎡,6520万円
シティータワー豊洲,2020年2月,17階,32.77㎡,2750万円
HillsHomes千代田,2020年2月,12階,27.35㎡,2890万円
銀座ガーデンシティー,2020年2月,15階,50.63㎡,6120万円
プラウド・トヨス・タワー,2020年2月,10階,17.22㎡,1900万円
グラン千代田House,2020年2月,3階,36.52㎡,3270万円
